keyword,collocate,cooccurrence_frequency,cooccurrence_document_frequency,keyword_frequency,collocate_frequency,logdice
ai,not,484,309,1424,1297,12.508941996024916
ai,use,187,125,1424,351,11.75329115060823
ai,think,117,90,1424,249,11.162142989545051
ai,it's,123,98,1424,420,11.093891564909901
ai,using,104,83,1424,195,11.039552447838526
ai,work,103,80,1424,251,10.976555146950721
ai,cannot,79,62,1424,151,10.682644634902463
ai,need,75,56,1424,210,10.554626422350196
ai,no,67,57,1424,195,10.405201920155207
ai,replace,61,45,1424,95,10.361831183060803
ai,used,59,47,1424,113,10.29674159967107
ai,make,60,47,1424,150,10.286670770101033
ai,tools,57,41,1424,100,10.25924282667142
ai,going,57,44,1424,139,10.222787951165078
ai,does,57,50,1424,188,10.178253985636774
ai,human,53,43,1424,136,10.120590140813588
ai,i'm,54,47,1424,168,10.11826288161982
ai,good,53,45,1424,170,10.089484540572727
ai,code,52,30,1424,145,10.084810081172995
ai,job,49,33,1424,100,10.041062656621886
ai,help,49,40,1424,104,10.03728101607946
ai,time,50,43,1424,197,9.981187814257183
ai,tool,46,40,1424,95,9.95465580155493
ai,better,46,38,1424,120,9.931104918788932
ai,did,43,37,1424,100,9.852617567208775
ai,data,44,35,1424,143,9.845642154164718
ai,know,44,36,1424,152,9.83737979918092
ai,you're,36,25,1424,119,9.578402654871578
ai,able,34,28,1424,66,9.546366225900815
ai,never,33,27,1424,77,9.492685857737765
ai,without,32,27,1424,79,9.446370706083634
ai,generated,31,20,1424,39,9.43948225624839
ai,actually,32,28,1424,98,9.428247356496454
ai,case,31,26,1424,78,9.401527212872605
ai,ask,31,24,1424,87,9.392908365222045
ai,right,31,26,1424,97,9.38339187266238
ai,want,31,30,1424,118,9.36360926047184
ai,write,30,22,1424,72,9.359996135720882
ai,point,30,27,1424,74,9.358068687149768
ai,great,29,21,1424,51,9.331481755991007
ai,review,29,21,1424,62,9.320762594588976
ai,software,29,24,1424,68,9.314949174872334
ai,doing,29,28,1424,91,9.292878916767258
ai,accounting,28,18,1424,58,9.274025189751772
ai,writing,28,18,1424,72,9.260460462169966
ai,that's,28,27,1424,105,9.2289822306968
ai,problem,27,21,1424,59,9.220584619708838
ai,say,25,19,1424,75,9.094071521826866
ai,new,25,23,1424,90,9.079706699788993
ai,chatgpt,25,22,1424,193,8.984752226301064
appropriate,use,8,5,19,351,9.468618539483689
appropriate,not,7,6,19,1297,7.445411148322362
appropriate,ai,7,6,19,1424,7.312499337566406
brief,not,7,6,18,1297,7.446507837877939
cases,edge,7,5,84,9,11.268196110949573
cases,lawyers,9,5,84,39,11.227410496103072
cases,legal,10,8,84,83,10.93822380241331
cases,research,5,5,84,68,10.074000581443777
cases,that's,6,6,84,105,10.022720076500082
cases,use,12,10,84,351,9.820090909985066
cases,it's,12,9,84,420,9.60768257722124
cases,does,6,6,84,188,9.497499659470817
cases,not,30,18,84,1297,9.475392991350468
cases,know,5,5,84,152,9.439285045525521
cases,ai,19,16,84,1424,8.689506800174922
chatgpt,using,23,20,193,195,10.923649113869885
