metric,value
industry,software_engineering
input_file,outputs/four_industry_ai_comments_master_harmonised_total_posts_ranked_v3.csv
total_rows,19041
modelled_rows,18813
excluded_empty_unusable_rows,228
text_definition,comment_body
substantive_topics_excluding_outlier,66
topics_found_including_outlier,67
outlier_count,7686
outlier_rate,0.408547
embedding_model,sentence-transformers/all-MiniLM-L6-v2
random_seed,42
min_topic_size,35
min_samples,5
min_df,5
max_df,0.8
ngram_range,"(1, 3)"
stopword_policy,generic_ai_reddit_terms_plus_occupational_identity_terms
industry_identity_stopwords,coder; coders; coding; computer; computers; cs; dev; developer; developers; devs; engineer; engineers; programmer; programmers; programming; software; webdev
representation_model,keybert_mmr
nr_topics,none
calculate_probabilities,0
domination_flagged_topics,11
post_month_outside_window_rows,0
comment_month_outside_window_rows,111
run_timestamp,2026-07-25T19:14:26
