ngram_n,term,positive_frequency,negative_frequency,positive_document_frequency,negative_document_frequency,positive_document_prevalence,negative_document_prevalence,log_odds_z,log_likelihood_g2
1,check,70,7,63,6,0.073170731707317,0.0052677787532923,3.5998857803569972,74.52894861317816
1,cases,84,14,52,14,0.0603948896631823,0.0122914837576821,3.4831945399445425,36.38062374340362
1,trust,57,6,51,5,0.0592334494773519,0.0043898156277436,3.2170827612498707,59.419102935929615
1,draft,43,4,31,4,0.0360046457607433,0.0035118525021949,2.8558673607898437,32.409007782324565
1,review,62,13,53,11,0.0615563298490127,0.0096575943810359,2.747095980458013,44.359113209080625
1,verify,28,0,24,0,0.0278745644599303,0.0,2.7028346267757857,40.84091647068122
1,use,351,191,235,152,0.2729384436701509,0.1334503950834065,2.6216989283870755,60.65521881815985
1,output,45,8,36,8,0.0418118466898954,0.0070237050043898,2.4933845627878237,28.573656162182967
1,documents,36,5,30,5,0.0348432055749128,0.0043898156277436,2.4022359604107963,27.953829432948808
1,correct,48,11,43,11,0.0499419279907084,0.0096575943810359,2.321544641056928,31.0934845310774
1,hipaa,19,0,15,0,0.0174216027874564,0.0,2.2260761498572967,25.434311305982405
1,code,145,69,80,49,0.0929152148664343,0.0430201931518876,2.146734021331154,20.022240366946107
1,context,39,9,32,9,0.0371660859465737,0.0079016681299385,2.085293735069796,21.347205676618643
1,human,136,65,99,50,0.1149825783972125,0.0438981562774363,2.064553564351248,35.72301797616171
1,place,34,7,30,5,0.0348432055749128,0.0043898156277436,2.0490371516754218,27.953829432948808
1,errors,27,4,18,4,0.0209059233449477,0.0035118525021949,2.0440705485904824,14.133056941278475
1,appropriate,19,1,17,1,0.0197444831591173,0.0008779631255487,2.0370940888852913,22.23361130499046
1,needs,46,13,44,13,0.0511033681765389,0.0114135206321334,2.0247327933442287,28.3911832688562
1,rely,24,3,23,3,0.0267131242740998,0.0026338893766461,2.0123429978120444,23.838913939301683
1,brief,18,1,11,1,0.0127758420441347,0.0008779631255487,1.9727264316126312,12.853574794247772
