ngram_n,term,positive_frequency,negative_frequency,positive_document_frequency,negative_document_frequency,positive_document_prevalence,negative_document_prevalence,log_odds_z,log_likelihood_g2
1,check,70,7,63,6,0.07317073170731707,0.0052677787532923615,3.5998857803569972,74.52894861317816
1,cases,84,14,52,14,0.06039488966318235,0.012291483757682178,3.4831945399445425,36.38062374340362
1,trust,57,6,51,5,0.059233449477351915,0.004389815627743635,3.2170827612498707,59.419102935929615
1,draft,43,4,31,4,0.036004645760743324,0.003511852502194908,2.8558673607898437,32.409007782324565
1,review,62,13,53,11,0.06155632984901278,0.009657594381035996,2.747095980458013,44.359113209080625
1,verify,28,0,24,0,0.027874564459930314,0.0,2.7028346267757857,40.84091647068122
1,use,351,191,235,152,0.27293844367015097,0.1334503950834065,2.6216989283870755,60.65521881815985
1,output,45,8,36,8,0.041811846689895474,0.007023705004389816,2.4933845627878237,28.573656162182967
1,documents,36,5,30,5,0.03484320557491289,0.004389815627743635,2.4022359604107963,27.953829432948808
1,correct,48,11,43,11,0.04994192799070848,0.009657594381035996,2.321544641056928,31.0934845310774
1,hipaa,19,0,15,0,0.017421602787456445,0.0,2.2260761498572967,25.434311305982405
1,code,145,69,80,49,0.09291521486643438,0.04302019315188762,2.146734021331154,20.022240366946107
1,context,39,9,32,9,0.03716608594657375,0.007901668129938543,2.0852937350697958,21.347205676618643
1,human,136,65,99,50,0.11498257839721254,0.043898156277436345,2.064553564351248,35.72301797616171
1,place,34,7,30,5,0.03484320557491289,0.004389815627743635,2.0490371516754218,27.953829432948808
1,errors,27,4,18,4,0.020905923344947737,0.003511852502194908,2.0440705485904824,14.133056941278477
1,appropriate,19,1,17,1,0.019744483159117306,0.000877963125548727,2.0370940888852913,22.23361130499046
1,needs,46,13,44,13,0.05110336817653891,0.01141352063213345,2.0247327933442287,28.3911832688562
1,rely,24,3,23,3,0.026713124274099883,0.0026338893766461808,2.0123429978120444,23.838913939301683
1,brief,18,1,11,1,0.012775842044134728,0.000877963125548727,1.9727264316126314,12.853574794247773
1,using,195,106,157,95,0.18234610917537747,0.08340649692712906,1.9523467640490206,43.20047443812874
1,data,143,72,94,53,0.1091753774680604,0.046532045654082525,1.9409023648031418,28.012465957969837
1,accurate,25,4,22,4,0.025551684088269456,0.003511852502194908,1.922891233512016,19.504301496818798
1,ok,22,3,21,3,0.024390243902439025,0.0026338893766461808,1.8863080836961406,20.926105851724692
1,lawyer,43,13,28,12,0.032520325203252036,0.010535557506584723,1.8715484288806519,12.082106422033641
1,answers,35,9,28,8,0.032520325203252036,0.007023705004389816,1.8676482729691046,18.39134484776224
1,case,78,33,61,30,0.07084785133565621,0.02633889376646181,1.8489692900253183,22.244372180796248
1,reliable,16,1,15,1,0.017421602787456445,0.000877963125548727,1.8375351156974364,19.064289043945678
1,need,210,120,157,98,0.18234610917537747,0.08604038630377524,1.8035552430441866,40.50129692450719
1,compliant,18,2,15,2,0.017421602787456445,0.001755926251097454,1.787494096818997,15.342523401428341
1,checking,15,1,14,1,0.016260162601626018,0.000877963125548727,1.7662553703946435,17.49369708227745
1,mistakes,15,1,13,1,0.015098722415795587,0.000877963125548727,1.7662553703946435,15.934005433372832
1,tests,20,3,15,3,0.017421602787456445,0.0026338893766461808,1.7528250561148067,12.550289488594965
1,writing,72,31,55,23,0.06387921022067364,0.02019315188762072,1.7379909085040797,24.975437967167185
1,information,72,31,59,22,0.06852497096399536,0.019315188762071993,1.7379909085040797,30.718320543733157
1,checked,14,1,13,1,0.015098722415795587,0.000877963125548727,1.6921447817112256,15.934005433372832
1,edit,14,1,13,1,0.015098722415795587,0.000877963125548727,1.6921447817112256,15.934005433372832
1,tested,14,1,14,1,0.016260162601626018,0.000877963125548727,1.6921447817112256,17.49369708227745
1,responsible,14,1,11,1,0.012775842044134728,0.000877963125548727,1.6921447817112256,12.853574794247773
1,not,1297,936,608,518,0.7061556329849012,0.4547848990342406,1.6915618570483064,128.3189394828298
1,material,21,4,15,4,0.017421602787456445,0.003511852502194908,1.6604238397369853,10.327234867059783
1,docs,23,5,15,4,0.017421602787456445,0.003511852502194908,1.64584759118182,10.327234867059783
