ngram_n,term,positive_frequency,negative_frequency,positive_document_frequency,negative_document_frequency,positive_document_prevalence,negative_document_prevalence,log_odds_z,log_likelihood_g2,source
1,check,70,7,63,6,0.07317073170731707,0.0052677787532923615,3.5998857803569972,74.52894861317816,1gram
1,cases,84,14,52,14,0.06039488966318235,0.012291483757682178,3.4831945399445425,36.38062374340362,1gram
1,trust,57,6,51,5,0.059233449477351915,0.004389815627743635,3.2170827612498707,59.419102935929615,1gram
1,draft,43,4,31,4,0.036004645760743324,0.003511852502194908,2.8558673607898437,32.409007782324565,1gram
1,review,62,13,53,11,0.06155632984901278,0.009657594381035996,2.747095980458013,44.359113209080625,1gram
1,verify,28,0,24,0,0.027874564459930314,0.0,2.7028346267757857,40.84091647068122,1gram
1,use,351,191,235,152,0.27293844367015097,0.1334503950834065,2.6216989283870755,60.65521881815985,1gram
1,output,45,8,36,8,0.041811846689895474,0.007023705004389816,2.4933845627878237,28.573656162182967,1gram
1,documents,36,5,30,5,0.03484320557491289,0.004389815627743635,2.4022359604107963,27.953829432948808,1gram
1,correct,48,11,43,11,0.04994192799070848,0.009657594381035996,2.321544641056928,31.0934845310774,1gram
1,hipaa,19,0,15,0,0.017421602787456445,0.0,2.2260761498572967,25.434311305982405,1gram
1,code,145,69,80,49,0.09291521486643438,0.04302019315188762,2.146734021331154,20.022240366946107,1gram
1,context,39,9,32,9,0.03716608594657375,0.007901668129938543,2.0852937350697958,21.347205676618643,1gram
1,human,136,65,99,50,0.11498257839721254,0.043898156277436345,2.064553564351248,35.72301797616171,1gram
1,place,34,7,30,5,0.03484320557491289,0.004389815627743635,2.0490371516754218,27.953829432948808,1gram
1,errors,27,4,18,4,0.020905923344947737,0.003511852502194908,2.0440705485904824,14.133056941278477,1gram
1,appropriate,19,1,17,1,0.019744483159117306,0.000877963125548727,2.0370940888852913,22.23361130499046,1gram
1,needs,46,13,44,13,0.05110336817653891,0.01141352063213345,2.0247327933442287,28.3911832688562,1gram
1,rely,24,3,23,3,0.026713124274099883,0.0026338893766461808,2.0123429978120444,23.838913939301683,1gram
1,brief,18,1,11,1,0.012775842044134728,0.000877963125548727,1.9727264316126314,12.853574794247773,1gram
2,not trust,14,0,14,0,0.016260162601626018,0.0,1.9619019824499042,23.72927951282897,2gram
1,using,195,106,157,95,0.18234610917537747,0.08340649692712906,1.9523467640490206,43.20047443812874,1gram
1,data,143,72,94,53,0.1091753774680604,0.046532045654082525,1.9409023648031418,28.012465957969837,1gram
1,accurate,25,4,22,4,0.025551684088269456,0.003511852502194908,1.922891233512016,19.504301496818798,1gram
2,hipaa compliant,13,0,12,0,0.013937282229965157,0.0,1.890481232722179,20.323276327564344,2gram
