ngram_n,term,frequency,document_frequency,document_prevalence
1,ai,1424,709,0.8234610917537747
1,not,1297,608,0.7061556329849012
1,it's,420,263,0.305458768873403
1,use,351,235,0.27293844367015097
1,think,249,190,0.22067363530778164
1,work,251,183,0.21254355400696864
1,need,210,157,0.18234610917537747
1,using,195,157,0.18234610917537747
1,no,195,156,0.18118466898954705
1,time,197,155,0.1800232288037166
1,chatgpt,193,149,0.17305458768873402
1,does,188,148,0.1718931475029036
1,i'm,168,134,0.15563298490127758
1,good,170,129,0.14982578397212543
1,cannot,151,125,0.14518002322880372
1,make,150,125,0.14518002322880372
1,know,152,118,0.13704994192799072
1,going,139,104,0.1207897793263647
1,used,113,100,0.11614401858304298
1,human,136,99,0.11498257839721254
1,want,118,97,0.11265969802555169
1,data,143,94,0.1091753774680604
1,better,120,93,0.10801393728222997
1,you're,119,87,0.10104529616724739
1,that's,105,87,0.10104529616724739
1,help,104,86,0.09988385598141696
1,actually,98,85,0.09872241579558652
1,tool,95,83,0.09639953542392567
1,right,97,82,0.09523809523809523
1,did,100,81,0.09407665505226481
1,code,145,80,0.09291521486643438
1,tools,100,80,0.09291521486643438
1,doing,91,78,0.09059233449477352
1,job,100,77,0.08943089430894309
1,replace,95,75,0.08710801393728224
1,i've,94,75,0.08710801393728224
1,ask,87,72,0.08362369337979095
1,sure,78,72,0.08362369337979095
1,new,90,71,0.08246225319396051
1,without,79,71,0.08246225319396051
1,never,77,71,0.08246225319396051
1,say,75,66,0.07665505226480836
1,point,74,64,0.0743321718931475
1,check,70,63,0.07317073170731707
1,case,78,61,0.07084785133565621
1,write,72,60,0.06968641114982578
1,able,66,60,0.06968641114982578
1,years,76,59,0.06852497096399536
1,information,72,59,0.06852497096399536
1,read,63,59,0.06852497096399536
