boundary_topic,finance,healthcare,law,software_engineering
-1,0.32105263157894737,0.15416666666666667,0.29045643153526973,0.23529411764705882
0,0.0,0.4041666666666667,0.008298755186721992,0.0053475935828877
1,0.0,0.004166666666666667,0.25311203319502074,0.0
2,0.10526315789473684,0.058333333333333334,0.029045643153526972,0.08021390374331551
3,0.05263157894736842,0.0375,0.03734439834024896,0.06951871657754011
4,0.03684210526315789,0.03333333333333333,0.029045643153526972,0.09090909090909091
5,0.005263157894736842,0.004166666666666667,0.004149377593360996,0.18716577540106952
6,0.1631578947368421,0.0,0.0,0.0
7,0.015789473684210527,0.004166666666666667,0.0995850622406639,0.0
8,0.0,0.10833333333333334,0.0,0.0
9,0.010526315789473684,0.008333333333333333,0.02074688796680498,0.08021390374331551
10,0.0,0.004166666666666667,0.06224066390041494,0.0213903743315508
11,0.0,0.0125,0.06639004149377593,0.0
12,0.0,0.058333333333333334,0.02074688796680498,0.0
13,0.02631578947368421,0.008333333333333333,0.029045643153526972,0.0213903743315508
14,0.0,0.0,0.0,0.0962566844919786
15,0.08421052631578947,0.0,0.0,0.0053475935828877
16,0.0,0.029166666666666667,0.029045643153526972,0.0106951871657754
17,0.0,0.004166666666666667,0.0,0.08021390374331551
18,0.0,0.0625,0.0,0.0
19,0.07368421052631578,0.0,0.004149377593360996,0.0
20,0.031578947368421054,0.004166666666666667,0.016597510373443983,0.016042780748663103
21,0.07368421052631578,0.0,0.0,0.0
