industry,config,reference_topic,candidate_topic,reference_size,candidate_size,intersection,jaccard,reference_recall,candidate_precision
finance,nn5_md0,0,1,749,2418,742,0.30597938144329895,0.9906542056074766,0.3068651778329198
finance,nn5_md0,1,0,652,635,613,0.9094955489614244,0.9401840490797546,0.9653543307086614
finance,nn5_md0,2,1,217,2418,217,0.08974358974358974,1.0,0.08974358974358974
finance,nn5_md0,3,1,197,2418,195,0.08057851239669421,0.9898477157360406,0.08064516129032258
finance,nn5_md0,4,1,156,2418,155,0.06407606448945845,0.9935897435897436,0.0641025641025641
finance,nn5_md0,5,1,74,2418,68,0.028052805280528052,0.918918918918919,0.028122415219189414
finance,nn5_md0,6,1,71,2418,68,0.02808756712102437,0.9577464788732394,0.028122415219189414
finance,nn5_md0,7,1,71,2418,71,0.029363110008271298,1.0,0.029363110008271298
finance,nn10_md0,0,0,749,2421,747,0.3082955014444903,0.9973297730307076,0.30855018587360594
finance,nn10_md0,1,1,652,641,622,0.9269746646795827,0.9539877300613497,0.9703588143525741
finance,nn10_md0,2,0,217,2421,217,0.08963238331268071,1.0,0.08963238331268071
finance,nn10_md0,3,0,197,2421,197,0.08137133415943824,1.0,0.08137133415943824
finance,nn10_md0,4,0,156,2421,156,0.0644361833952912,1.0,0.0644361833952912
finance,nn10_md0,5,0,74,2421,69,0.028441879637262985,0.9324324324324325,0.028500619578686492
finance,nn10_md0,6,0,71,2421,70,0.028901734104046242,0.9859154929577465,0.028913672036348616
finance,nn10_md0,7,0,71,2421,71,0.02932672449401074,1.0,0.02932672449401074
finance,nn15_md0_reproduction,0,4,749,749,749,1.0,1.0,1.0
finance,nn15_md0_reproduction,1,0,652,652,652,1.0,1.0,1.0
finance,nn15_md0_reproduction,2,2,217,217,217,1.0,1.0,1.0
finance,nn15_md0_reproduction,3,7,197,197,197,1.0,1.0,1.0
finance,nn15_md0_reproduction,4,6,156,156,156,1.0,1.0,1.0
finance,nn15_md0_reproduction,5,1,74,74,74,1.0,1.0,1.0
finance,nn15_md0_reproduction,6,5,71,71,71,1.0,1.0,1.0
finance,nn15_md0_reproduction,7,3,71,71,71,1.0,1.0,1.0
finance,nn30_md0,0,1,749,2419,748,0.3090909090909091,0.9986648865153538,0.30921868540719305
finance,nn30_md0,1,0,652,690,647,0.9309352517985612,0.9923312883435583,0.9376811594202898
finance,nn30_md0,2,1,217,2419,217,0.08970649028524183,1.0,0.08970649028524183
finance,nn30_md0,3,1,197,2419,197,0.08143861099627946,1.0,0.08143861099627946
finance,nn30_md0,4,1,156,2419,156,0.06448945845390658,1.0,0.06448945845390658
finance,nn30_md0,5,1,74,2419,74,0.03059115336916081,1.0,0.03059115336916081
finance,nn30_md0,6,1,71,2419,70,0.028925619834710745,0.9859154929577465,0.028937577511368336
finance,nn30_md0,7,1,71,2419,71,0.029350971475816452,1.0,0.029350971475816452
finance,nn50_md0,0,1,749,768,715,0.8915211970074813,0.9546061415220294,0.9309895833333334
finance,nn50_md0,1,0,652,683,641,0.9236311239193083,0.9831288343558282,0.9385065885797951
finance,nn50_md0,2,3,217,213,207,0.9282511210762332,0.9539170506912442,0.971830985915493
finance,nn50_md0,3,2,197,963,197,0.20456905503634476,1.0,0.20456905503634476
finance,nn50_md0,4,2,156,963,156,0.16199376947040497,1.0,0.16199376947040497
finance,nn50_md0,5,1,74,768,1,0.0011890606420927466,0.013513513513513514,0.0013020833333333333
finance,nn50_md0,6,2,71,963,67,0.06928645294725956,0.9436619718309859,0.0695742471443406
finance,nn50_md0,7,2,71,963,65,0.06707946336429309,0.9154929577464789,0.06749740394600208
finance,nn15_md01,0,0,749,2138,748,0.34969611968209446,0.9986648865153538,0.3498596819457437
finance,nn15_md01,1,2,652,663,636,0.9366715758468336,0.9754601226993865,0.9592760180995475
finance,nn15_md01,2,0,217,2138,216,0.10098176718092566,0.9953917050691244,0.10102899906454631
finance,nn15_md01,3,0,197,2138,197,0.0921421889616464,1.0,0.0921421889616464
finance,nn15_md01,4,0,156,2138,156,0.07296538821328344,1.0,0.07296538821328344
finance,nn15_md01,5,1,74,75,73,0.9605263157894737,0.9864864864864865,0.9733333333333334
finance,nn15_md01,6,0,71,2138,71,0.03320860617399439,1.0,0.03320860617399439
finance,nn15_md01,7,0,71,2138,71,0.03320860617399439,1.0,0.03320860617399439
finance,nn15_md05,0,4,749,420,382,0.48538754764930114,0.5100133511348465,0.9095238095238095
finance,nn15_md05,1,0,652,508,448,0.6292134831460674,0.6871165644171779,0.8818897637795275
finance,nn15_md05,2,2,217,151,150,0.6880733944954128,0.6912442396313364,0.9933774834437086
finance,nn15_md05,3,3,197,420,172,0.3865168539325843,0.8730964467005076,0.4095238095238095
finance,nn15_md05,4,3,156,420,132,0.2972972972972973,0.8461538461538461,0.3142857142857143
finance,nn15_md05,5,0,74,508,46,0.08582089552238806,0.6216216216216216,0.09055118110236221
finance,nn15_md05,6,4,71,420,24,0.05139186295503212,0.3380281690140845,0.05714285714285714
finance,nn15_md05,7,-1,71,1581,71,0.0,0.0,0.0
healthcare,nn5_md0,0,1,1269,7929,1269,0.16004540295119182,1.0,0.16004540295119182
healthcare,nn5_md0,1,1,620,7929,606,0.07629359184187334,0.9774193548387097,0.07642830117290957
healthcare,nn5_md0,2,1,488,7929,481,0.06060987903225806,0.985655737704918,0.06066338756463614
healthcare,nn5_md0,3,1,481,7929,477,0.060128576830959284,0.9916839916839917,0.060158910329171394
healthcare,nn5_md0,4,1,438,7929,418,0.052585230846647374,0.954337899543379,0.052717871106066336
healthcare,nn5_md0,5,1,397,7929,397,0.050069365619876405,1.0,0.050069365619876405
healthcare,nn5_md0,6,1,263,7929,263,0.03316937823180729,1.0,0.03316937823180729
healthcare,nn5_md0,7,1,227,7929,220,0.027721774193548387,0.9691629955947136,0.027746247950561232
healthcare,nn5_md0,8,1,213,7929,213,0.02686341278849792,1.0,0.02686341278849792
healthcare,nn5_md0,9,1,180,7929,178,0.022443575841634093,0.9888888888888889,0.02244923697818136
healthcare,nn5_md0,10,1,159,7929,159,0.0200529701097238,1.0,0.0200529701097238
healthcare,nn5_md0,11,2,149,180,139,0.7315789473684211,0.9328859060402684,0.7722222222222223
healthcare,nn5_md0,12,1,139,7929,139,0.017530583932400052,1.0,0.017530583932400052
healthcare,nn5_md0,13,1,123,7929,123,0.015512674990541053,1.0,0.015512674990541053
healthcare,nn5_md0,14,1,75,7929,75,0.009458948164964056,1.0,0.009458948164964056
healthcare,nn5_md0,15,1,74,7929,74,0.00933282885609787,1.0,0.00933282885609787
healthcare,nn10_md0,0,3,1269,1244,1195,0.9066767830045523,0.9416863672182821,0.9606109324758842
healthcare,nn10_md0,1,1,620,646,607,0.921092564491654,0.9790322580645161,0.9396284829721362
healthcare,nn10_md0,2,9,488,1692,473,0.27709431751611013,0.9692622950819673,0.27955082742316784
healthcare,nn10_md0,3,10,481,1192,461,0.3803630363036304,0.9584199584199584,0.38674496644295303
healthcare,nn10_md0,4,11,438,477,423,0.8597560975609756,0.9657534246575342,0.8867924528301887
healthcare,nn10_md0,5,7,397,298,248,0.5548098434004475,0.6246851385390428,0.8322147651006712
healthcare,nn10_md0,6,9,263,1692,258,0.15203299941072482,0.9809885931558935,0.1524822695035461
healthcare,nn10_md0,7,4,227,237,194,0.7185185185185186,0.8546255506607929,0.8185654008438819
healthcare,nn10_md0,8,2,213,200,196,0.9032258064516129,0.92018779342723,0.98
healthcare,nn10_md0,9,10,180,1192,173,0.14428690575479566,0.9611111111111111,0.14513422818791946
healthcare,nn10_md0,10,9,159,1692,158,0.09332545776727702,0.9937106918238994,0.0933806146572104
healthcare,nn10_md0,11,0,149,155,142,0.8765432098765432,0.9530201342281879,0.9161290322580645
healthcare,nn10_md0,12,9,139,1692,135,0.07959905660377359,0.9712230215827338,0.0797872340425532
healthcare,nn10_md0,13,10,123,1192,119,0.09949832775919733,0.967479674796748,0.09983221476510067
healthcare,nn10_md0,14,5,75,81,72,0.8571428571428571,0.96,0.8888888888888888
healthcare,nn10_md0,15,8,74,174,71,0.4011299435028249,0.9594594594594594,0.40804597701149425
healthcare,nn15_md0_reproduction,0,5,1269,1269,1269,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,1,2,620,620,620,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,2,7,488,488,488,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,3,11,481,481,481,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,4,4,438,438,438,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,5,9,397,397,397,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,6,15,263,263,263,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,7,3,227,227,227,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,8,1,213,213,213,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,9,12,180,180,180,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,10,14,159,159,159,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,11,0,149,149,149,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,12,13,139,139,139,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,13,10,123,123,123,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,14,6,75,75,75,1.0,1.0,1.0
healthcare,nn15_md0_reproduction,15,8,74,74,74,1.0,1.0,1.0
healthcare,nn30_md0,0,5,1269,1321,1235,0.9114391143911439,0.9732072498029944,0.9348978046934141
healthcare,nn30_md0,1,1,620,634,611,0.9502332814930016,0.9854838709677419,0.9637223974763407
healthcare,nn30_md0,2,10,488,443,422,0.8290766208251473,0.8647540983606558,0.9525959367945824
healthcare,nn30_md0,3,8,481,544,425,0.7083333333333334,0.8835758835758836,0.78125
healthcare,nn30_md0,4,3,438,437,414,0.8980477223427332,0.9452054794520548,0.9473684210526315
healthcare,nn30_md0,5,4,397,739,392,0.5268817204301075,0.9874055415617129,0.530446549391069
healthcare,nn30_md0,6,13,263,205,166,0.5496688741721855,0.6311787072243346,0.8097560975609757
healthcare,nn30_md0,7,6,227,188,179,0.7584745762711864,0.788546255506608,0.9521276595744681
healthcare,nn30_md0,8,2,213,202,197,0.9036697247706422,0.9248826291079812,0.9752475247524752
healthcare,nn30_md0,9,9,180,205,137,0.5524193548387096,0.7611111111111111,0.6682926829268293
healthcare,nn30_md0,10,11,159,198,139,0.6376146788990825,0.8742138364779874,0.702020202020202
healthcare,nn30_md0,11,0,149,149,146,0.9605263157894737,0.9798657718120806,0.9798657718120806
healthcare,nn30_md0,12,12,139,117,109,0.7414965986394558,0.7841726618705036,0.9316239316239316
healthcare,nn30_md0,13,7,123,129,114,0.8260869565217391,0.926829268292683,0.8837209302325582
healthcare,nn30_md0,14,4,75,739,69,0.09261744966442953,0.92,0.09336941813261164
healthcare,nn30_md0,15,4,74,739,74,0.10013531799729364,1.0,0.10013531799729364
healthcare,nn50_md0,0,1,1269,2486,1265,0.5080321285140562,0.9968479117415288,0.5088495575221239
healthcare,nn50_md0,1,2,620,624,596,0.9197530864197531,0.9612903225806452,0.9551282051282052
healthcare,nn50_md0,2,10,488,227,223,0.4532520325203252,0.4569672131147541,0.9823788546255506
healthcare,nn50_md0,3,7,481,487,383,0.6547008547008547,0.7962577962577962,0.7864476386036962
healthcare,nn50_md0,4,4,438,417,386,0.8230277185501066,0.8812785388127854,0.9256594724220624
healthcare,nn50_md0,5,1,397,2486,396,0.15922798552472858,0.9974811083123426,0.1592920353982301
healthcare,nn50_md0,6,11,263,186,157,0.5376712328767124,0.596958174904943,0.8440860215053764
healthcare,nn50_md0,7,1,227,2486,208,0.08303393213572854,0.9162995594713657,0.083668543845535
healthcare,nn50_md0,8,3,213,204,198,0.9041095890410958,0.9295774647887324,0.9705882352941176
healthcare,nn50_md0,9,6,180,156,118,0.5412844036697247,0.6555555555555556,0.7564102564102564
healthcare,nn50_md0,10,8,159,179,141,0.7157360406091371,0.8867924528301887,0.7877094972067039
healthcare,nn50_md0,11,0,149,146,142,0.9281045751633987,0.9530201342281879,0.9726027397260274
healthcare,nn50_md0,12,12,139,123,109,0.7124183006535948,0.7841726618705036,0.8861788617886179
healthcare,nn50_md0,13,5,123,125,110,0.7971014492753623,0.8943089430894309,0.88
healthcare,nn50_md0,14,1,75,2486,70,0.028101164191087918,0.9333333333333333,0.02815768302493966
healthcare,nn50_md0,15,1,74,2486,74,0.029766693483507644,1.0,0.029766693483507644
healthcare,nn15_md01,0,10,1269,345,345,0.2718676122931442,0.2718676122931442,1.0
healthcare,nn15_md01,1,1,620,624,613,0.971473851030111,0.9887096774193549,0.9823717948717948
healthcare,nn15_md01,2,7,488,343,343,0.7028688524590164,0.7028688524590164,1.0
healthcare,nn15_md01,3,3,481,1191,477,0.399163179916318,0.9916839916839917,0.4005037783375315
healthcare,nn15_md01,4,4,438,442,424,0.9298245614035088,0.9680365296803652,0.9592760180995475
healthcare,nn15_md01,5,9,397,341,317,0.7529691211401425,0.7984886649874056,0.9296187683284457
healthcare,nn15_md01,6,6,263,813,260,0.31862745098039214,0.9885931558935361,0.3198031980319803
healthcare,nn15_md01,7,5,227,181,180,0.7894736842105263,0.7929515418502202,0.994475138121547
healthcare,nn15_md01,8,2,213,198,196,0.9116279069767442,0.92018779342723,0.98989898989899
healthcare,nn15_md01,9,3,180,1191,177,0.14824120603015076,0.9833333333333333,0.1486146095717884
healthcare,nn15_md01,10,6,159,813,158,0.1941031941031941,0.9937106918238994,0.1943419434194342
