config,n_neighbors,min_dist,documents,candidate_substantive_topics,candidate_outlier_count,candidate_outlier_rate,largest_candidate_topic_share_nonout,ari_all,ami_all,nmi_all,ari_common_nonout,reference_nonout_retained_rate,candidate_nonout_also_reference_nonout_rate,outlier_status_agreement,weighted_best_topic_jaccard,median_best_topic_jaccard,weighted_reference_topic_recall,reference_topics_jaccard_ge_050,reference_topics_jaccard_ge_033,model,locked_substantive_topics,locked_outlier_count,locked_outlier_rate,hdbscan_min_cluster_size,hdbscan_min_samples,model_label,config_label
nn5_md0,5,0.0,36171,24,5925,0.1638052583561416,0.3999537128876546,0.5443227897597366,0.6493077685086973,0.650282094597517,0.8238463754946472,0.8862607109112827,0.8993585928717847,0.81933040280888,0.6613983406009316,0.6553200531559413,0.7740852963216368,14,15,pooled,18,,,,,Pooled corpus,5 / 0
nn10_md0,10,0.0,36171,23,7666,0.2119377401785961,0.3503595860375372,0.6250683683484471,0.771131534894525,0.7717428340571338,0.9362755073059648,0.8810803766331086,0.9487107524995616,0.8586713112714606,0.8010673787314477,0.8869660726242123,0.837194148502916,18,18,pooled,18,,,,,Pooled corpus,10 / 0
nn15_md0_reproduction,15,0.0,36171,18,5478,0.1514472920295264,0.4052389795718893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,18,pooled,18,,,,,Pooled corpus,"15 / 0
(locked)"
nn30_md0,30,0.0,36171,3,49,0.0013546763982195,0.9211837661259068,0.0679027801599285,0.2276894458754444,0.2281666959412654,0.100189068078731,1.0,0.8497037816289242,0.8499073843686932,0.2768642855424557,0.0243118271832815,0.99651386309582,2,3,pooled,18,,,,,Pooled corpus,30 / 0
nn50_md0,50,0.0,36171,18,9718,0.2686682701611788,0.3903527010168979,0.5577592961579394,0.7101624948312802,0.710801001938536,0.9205480112213544,0.8261492848532238,0.9585680263108154,0.8221779878908518,0.6811403700083398,0.7358470384885254,0.7686443162936174,13,13,pooled,18,,,,,Pooled corpus,50 / 0
nn15_md01,15,0.1,36171,2,103,0.0028475850819717,0.9932072751469446,0.0060520536832995,0.040167095508417,0.0406283012071892,0.0084439509588101,1.0,0.8509759343462349,0.8514002930524454,0.1878343542890756,0.0226111715936688,0.9999674192812692,1,2,pooled,18,,,,,Pooled corpus,15 / 0.1
nn15_md05,15,0.5,36171,23,22916,0.6335462110530535,0.1655978875895888,0.1698184371951147,0.4849732975794623,0.486588461591769,0.6848976392335655,0.4285993549017691,0.99245567710298,0.5123717895551685,0.3051775368437753,0.303164773216321,0.3108852181279119,6,8,pooled,18,,,,,Pooled corpus,15 / 0.5
nn5_md0,5,0.0,3199,2,146,0.0456392622694592,0.7920078611202096,0.1754134289083572,0.3646806504789558,0.3660039057724123,0.3083598023326538,0.9945130315500684,0.7124140189977072,0.7217880587683652,0.3994827399486428,0.0723272884430763,0.9734796524919982,1,1,finance,8,1012.0,0.3163488590184433,70.0,10.0,Finance,5 / 0
nn10_md0,10,0.0,3199,2,137,0.0428258830884651,0.7906596995427825,0.1815204607945803,0.3842479221296947,0.3855354404579358,0.3190826657219906,0.9986282578875172,0.713259307642064,0.7246014379493592,0.4056114111680645,0.0729037587773647,0.9826245999085506,1,1,finance,8,1012.0,0.3163488590184433,70.0,10.0,Finance,10 / 0
nn15_md0_reproduction,15,0.0,3199,8,1012,0.3163488590184433,0.3424782807498857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,8,finance,8,1012.0,0.3163488590184433,70.0,10.0,Finance,"15 / 0
(locked)"
