config,n_neighbors,min_dist,documents,candidate_substantive_topics,candidate_outlier_count,candidate_outlier_rate,largest_candidate_topic_share_nonout,ari_all,ami_all,nmi_all,ari_common_nonout,reference_nonout_retained_rate,candidate_nonout_also_reference_nonout_rate,outlier_status_agreement,weighted_best_topic_jaccard,median_best_topic_jaccard,weighted_reference_topic_recall,reference_topics_jaccard_ge_050,reference_topics_jaccard_ge_033,industry,locked_substantive_topics,locked_outlier_count,locked_outlier_rate,hdbscan_min_cluster_size,hdbscan_min_samples
nn5_md0,5,0.0,3199,2,146,0.045639262269459205,0.7920078611202096,0.1754134289083572,0.36468065047895587,0.3660039057724123,0.30835980233265387,0.9945130315500685,0.7124140189977072,0.7217880587683652,0.3994827399486428,0.07232728844307633,0.9734796524919982,1,1,finance,8,1012,0.3163488590184433,70,10
nn10_md0,10,0.0,3199,2,137,0.04282588308846515,0.7906596995427825,0.1815204607945803,0.3842479221296947,0.3855354404579358,0.3190826657219906,0.9986282578875172,0.713259307642064,0.7246014379493592,0.40561141116806454,0.07290375877736471,0.9826245999085506,1,1,finance,8,1012,0.3163488590184433,70,10
nn15_md0_reproduction,15,0.0,3199,8,1012,0.3163488590184433,0.3424782807498857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,8,finance,8,1012,0.3163488590184433,70,10
nn30_md0,30,0.0,3199,2,90,0.028133791809940606,0.7780636860726922,0.19444451022692022,0.3957509615246575,0.39704354573651,0.35001005826635495,1.0,0.7034416211000322,0.7117849327914973,0.4071560716465899,0.07296403472509302,0.9967992684042066,1,1,finance,8,1012,0.3163488590184433,70,10
nn50_md0,50,0.0,3199,4,572,0.17880587683651142,0.3665778454510849,0.5575430822235136,0.6677756132735994,0.6687921449708354,0.885279237010472,0.9428440786465477,0.7849257708412638,0.7843075961237886,0.7072375240295901,0.18328141225337485,0.9368998628257887,3,3,finance,8,1012,0.3163488590184433,70,10
nn15_md01,15,0.1,3199,3,323,0.10096905282900906,0.7433936022253129,0.2244382731205892,0.4817065933659032,0.48319602029943226,0.4080462120335052,0.9917695473251029,0.7541724617524339,0.7733666770865896,0.4571899797915546,0.09656197807128603,0.9913122999542753,2,3,finance,8,1012,0.3163488590184433,70,10
nn15_md05,15,0.5,3199,5,1581,0.4942169427946233,0.31396786155747836,0.331147363113939,0.495897770294574,0.4978998008710222,0.7552727166838082,0.6735253772290809,0.9103831891223733,0.7314785870584558,0.482686857772121,0.3419070756149408,0.6191129401005944,2,4,finance,8,1012,0.3163488590184433,70,10
nn5_md0,5,0.0,8283,3,90,0.010865628395508874,0.9677773709264006,0.0009953322874983327,0.07025431824139133,0.0726442780672644,0.014252955826740122,0.9971671388101983,0.6444525814719883,0.646504889532778,0.0933948375464078,0.030445576212677836,0.9879131255901794,1,1,healthcare,16,2988,0.3607388627308946,70,10
nn10_md0,10,0.0,8283,12,1810,0.2185198599541229,0.261393480611772,0.4533435889570976,0.6742784941178454,0.6760818728282845,0.797578569203823,0.9609065155807366,0.7860342963077398,0.8077991066038874,0.6271618990163943,0.4779698934516362,0.9301227573182247,8,10,healthcare,16,2988,0.3607388627308946,70,10
nn15_md0_reproduction,15,0.0,8283,16,2988,0.3607388627308946,0.23966005665722379,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16,16,healthcare,16,2988,0.3607388627308946,70,10
