model_label,config,n_neighbors,min_dist,candidate_substantive_topics,candidate_outlier_rate,ari_all,ari_common_nonout,weighted_best_topic_jaccard,weighted_reference_topic_recall,reference_topics_jaccard_ge_050,locked_substantive_topics
Pooled corpus,nn5_md0,5,0.0,24,0.1638052583561416,0.5443227897597366,0.8238463754946472,0.6613983406009316,0.7740852963216368,14,18
Pooled corpus,nn10_md0,10,0.0,23,0.2119377401785961,0.6250683683484471,0.9362755073059648,0.8010673787314477,0.837194148502916,18,18
Pooled corpus,nn15_md0_reproduction,15,0.0,18,0.1514472920295264,1.0,1.0,1.0,1.0,18,18
Pooled corpus,nn30_md0,30,0.0,3,0.0013546763982195,0.0679027801599285,0.100189068078731,0.2768642855424557,0.99651386309582,2,18
Pooled corpus,nn50_md0,50,0.0,18,0.2686682701611788,0.5577592961579394,0.9205480112213544,0.6811403700083398,0.7686443162936174,13,18
Pooled corpus,nn15_md01,15,0.1,2,0.0028475850819717,0.0060520536832995,0.0084439509588101,0.1878343542890756,0.9999674192812692,1,18
Pooled corpus,nn15_md05,15,0.5,23,0.6335462110530535,0.1698184371951147,0.6848976392335655,0.3051775368437753,0.3108852181279119,6,18
Finance,nn5_md0,5,0.0,2,0.0456392622694592,0.1754134289083572,0.3083598023326538,0.3994827399486428,0.9734796524919982,1,8
Finance,nn10_md0,10,0.0,2,0.0428258830884651,0.1815204607945803,0.3190826657219906,0.4056114111680645,0.9826245999085506,1,8
Finance,nn15_md0_reproduction,15,0.0,8,0.3163488590184433,1.0,1.0,1.0,1.0,8,8
Finance,nn30_md0,30,0.0,2,0.0281337918099406,0.1944445102269202,0.3500100582663549,0.4071560716465899,0.9967992684042066,1,8
Finance,nn50_md0,50,0.0,4,0.1788058768365114,0.5575430822235136,0.885279237010472,0.7072375240295901,0.9368998628257889,3,8
Finance,nn15_md01,15,0.1,3,0.100969052829009,0.2244382731205892,0.4080462120335052,0.4571899797915546,0.9913122999542752,2,8
Finance,nn15_md05,15,0.5,5,0.4942169427946233,0.331147363113939,0.7552727166838082,0.482686857772121,0.6191129401005944,2,8
Healthcare,nn5_md0,5,0.0,3,0.0108656283955088,0.0009953322874983,0.0142529558267401,0.0933948375464078,0.9879131255901794,1,16
Healthcare,nn10_md0,10,0.0,12,0.2185198599541229,0.4533435889570976,0.797578569203823,0.6271618990163943,0.9301227573182248,8,16
Healthcare,nn15_md0_reproduction,15,0.0,16,0.3607388627308946,1.0,1.0,1.0,1.0,16,16
Healthcare,nn30_md0,30,0.0,14,0.3346613545816733,0.667997042384607,0.9615072685675458,0.7867349421088068,0.911992445703494,14,16
Healthcare,nn50_md0,50,0.0,13,0.3414221900277677,0.4751210007410125,0.6389154865106067,0.5813918352089891,0.8642115203021719,11,16
Healthcare,nn15_md01,15,0.1,12,0.3720874079439816,0.4687109998241225,0.7545501557075182,0.5500901305274867,0.76109537299339,7,16
Healthcare,nn15_md05,15,0.5,3,0.1886997464686707,0.0224152130033674,0.0781181885917951,0.1943606602937628,0.9170915958451368,2,16
Law,nn5_md0,5,0.0,8,0.0185500340367597,0.2536621838489508,0.4347923902827018,0.4642506053805619,0.9484165067178504,7,19
Law,nn10_md0,10,0.0,20,0.2741660993873383,0.7564296250816399,0.9833356423232535,0.8378301451972802,0.90595009596929,16,19
Law,nn15_md0_reproduction,15,0.0,19,0.2906739278420694,1.0,1.0,1.0,1.0,19,19
Law,nn30_md0,30,0.0,3,0.0042545949625595,0.1992716402999705,0.3316646035966444,0.4171127526132054,0.9932821497120922,2,19
Law,nn50_md0,50,0.0,3,0.0117426820966643,0.1970514362172649,0.327645555795773,0.4129914156241444,0.9870441458733206,2,19
Law,nn15_md01,15,0.1,18,0.388359428182437,0.7120940462856005,0.9997001683166712,0.838826069125711,0.8493282149712092,17,19
Law,nn15_md05,15,0.5,3,0.2636147038801906,0.1698794275685122,0.3501327652588797,0.3778470477507485,0.8078214971209213,2,19
Software engineering / IT,nn5_md0,5,0.0,95,0.3442832084197098,0.3734580624372735,0.8984747549120753,0.5640433879716613,0.6826637907791858,28,66
Software engineering / IT,nn10_md0,10,0.0,72,0.394567586243555,0.5269255103784688,0.926234528417488,0.6546496320648107,0.7732542464276085,39,66
Software engineering / IT,nn15_md0_reproduction,15,0.0,66,0.4085472811353851,1.0,1.0,1.0,1.0,66,66
